x1;x2;x3;x4;x5;x6;x7;x_train
6684.191733;210680.137;853.2999878;0.419999987;10914.80666;327.3831148;328.858905;9.800000191
6692.872765;212037.9109;856.2000122;0.409999996;11129.7975;328.8635303;331.3902543;8.5
6702.085642;212477.3417;856.7000122;0.449999988;10920.4938;330.0102713;331.9738516;9.800000191
6660.170742;188069.1301;857.7000122;0.460000008;11091.98424;329.1242848;329.6127935;10.10000038
6619.378591;171671.6389;858.2999878;0.600000024;11450.81489;326.2440047;326.9492047;3.700000048
6668.860554;193431.3411;854.9000244;0.50999999;11218.86671;326.0823625;327.5481996;2.799999952
6706.343345;214571.0035;854.2000122;0.49000001;10208.76799;325.9422733;324.203958;2.400000095
6689.054217;324801.2876;843.4000244;0.409999996;9638.338477;338.0908309;343.5258968;7.699999809
6618.838536;325319.9109;849.2000122;0.529999971;9466.631378;338.4631202;341.7004398;7.099999905
6607.641046;323801.6243;844.9000244;0.49000001;9523.470144;339.3570003;342.8841118;8.100000381
6597.361839;325006.8728;845.5;0.469999999;9506.763859;340.2322294;343.8805312;6.199999809
6550.967225;324995.1621;845.0999756;0.479999989;9899.48508;342.7148918;347.3791175;6.400000095
6552.541581;325083.5208;848;0.560000002;10016.08959;343.3052673;348.5088349;5.199999809
6619.440904;325004.2236;847.2999878;0.5;9783.101923;342.8081821;347.235881;3.299999952
6615.713703;325005.3228;844.5999756;0.419999987;9552.720987;341.6881614;345.4232722;4.800000191
6606.451632;324879.5037;844.0999756;0.409999996;8964.732307;340.2844384;341.8847166;5.199999809
6607.767487;324578.3879;844.5;0.400000006;8916.975841;340.3814565;341.9029322;8.100000381
6620.517222;324996.5435;846.7000122;0.49000001;9244.798549;341.4886264;343.1728015;7.300000191
6617.868849;325017.3743;846.2999878;0.389999986;9187.018771;341.3678718;342.9304357;7.199999809
6611.782054;325005.4665;845.7999878;0.379999995;9334.822683;341.1345949;343.536474;7
6614.947818;325009.6914;845.4000244;0.379999995;9489.312878;341.0717292;344.1595495;7.5
6614.542792;325013.7433;846;0.409999996;9449.585108;339.7531469;342.3609199;8.699999809
